	time	x	y	Explorer	Terminal	Code	Engagement	Excitement	Long term excitement	Stress/Frustration	Relaxation	Interest/Affinity	Focus	Pulse	Name	Age	Initial pulse	Arousal	Valence	Gender
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	wow	ha		2.0	0.0	Male
1	13/04/2023-11:02:52						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	wow	ha		2.0	0.0	Male
2	13/04/2023-11:02:54						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	wow	ha				Male
3	13/04/2023-11:02:55						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	wow	ha				Male
4	13/04/2023-11:02:56						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	wow	ha				Male
5	13/04/2023-11:02:57						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	wow	ha				Male
6	13/04/2023-11:02:58						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	wow	ha				Male
7	13/04/2023-11:03:00						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	wow	ha				Male
8	13/04/2023-11:03:01						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	wow	ha				Male
9	13/04/2023-11:03:02						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	wow	ha		4	3	Male
10	13/04/2023-11:03:08						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	wow	ha				Male
11	13/04/2023-11:03:10						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	wow	ha				Male
12	13/04/2023-11:03:11						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	wow	ha				Male
13	13/04/2023-11:03:12						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	wow	ha				Male
14	13/04/2023-11:03:13						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	wow	ha				Male
